observation_id,organism,antibiotic,facility,region,month,tested_isolates,resistant_isolates,resistance_rate,previous_resistance_rate,resistance_change,rolling_mean,rolling_std,trend_slope,facility_count,reporting_volume,threshold_distance,target_risk
OBS-00001,Enterococcus faecium,Ciprofloxacin,St. Jude General Hospital,East District,2026-01,182,52,28.7,29.0,-0.3,29.9,1.3,0.51,4,830,-1.3,0
OBS-00002,Escherichia coli,Ceftriaxone,North Suburbs Health Zone,Metro Central,2025-10,263,100,38.0,34.2,3.7,34.1,2.6,1.02,2,695,-2.0,1
OBS-00003,Klebsiella pneumoniae,Gentamicin,Valley Health District,West District,2026-01,324,110,33.9,40.4,-6.5,36.5,4.7,-2.39,8,2645,-1.1,0
OBS-00004,Staphylococcus aureus,Colistin,Eastside Medical Center,Metro North,2026-01,144,32,22.5,24.9,-2.4,23.3,3.8,-1.66,6,961,-17.5,0
OBS-00005,Pseudomonas aeruginosa,Ceftriaxone,Eastside Medical Center,Metro Central,2026-09,589,122,20.8,25.5,-4.8,23.8,4.1,-1.56,8,4825,-9.2,0
OBS-00006,Acinetobacter baumannii,Colistin,Valley Health District,East District,2026-07,111,39,35.5,32.0,3.5,33.1,3.2,0.91,4,517,10.5,0
OBS-00007,Escherichia coli,Vancomycin,University Hospital Center,Metro Central,2026-04,504,143,28.4,31.9,-3.5,32.4,2.9,-1.66,5,2895,-11.6,0
OBS-00008,Pseudomonas aeruginosa,Meropenem,Valley Health District,East District,2026-09,215,111,51.6,47.2,4.4,48.4,4.8,1.82,2,753,21.6,1
OBS-00009,Staphylococcus aureus,Colistin,Valley Health District,Metro North,2026-08,97,27,27.8,28.6,-0.9,26.2,3.4,-0.59,6,749,-12.2,0
OBS-00010,Staphylococcus aureus,Colistin,St. Jude General Hospital,Metro North,2026-07,257,28,11.0,13.8,-2.9,11.6,4.0,-0.91,6,1927,-29.0,0
OBS-00011,Enterococcus faecium,Ampicillin,University Hospital Center,East District,2025-12,591,130,21.9,19.6,2.3,21.6,3.7,1.14,4,2548,-8.1,0
OBS-00012,Acinetobacter baumannii,Ampicillin,Eastside Medical Center,Metro North,2025-12,133,45,33.9,35.9,-2.0,33.3,1.7,-0.23,8,1138,8.9,0
OBS-00013,Klebsiella pneumoniae,Vancomycin,Valley Health District,West District,2026-07,434,100,22.9,26.9,-4.0,27.4,4.6,-0.79,2,1113,-12.1,0
OBS-00014,Pseudomonas aeruginosa,Ceftriaxone,St. Jude General Hospital,Metro Central,2026-08,388,65,16.6,16.7,-0.1,18.1,2.4,0.28,5,2047,-13.4,0
OBS-00015,Escherichia coli,Gentamicin,Valley Health District,East District,2026-06,559,209,37.4,31.7,5.7,28.9,2.9,2.23,3,1781,-2.6,0
OBS-00016,Enterococcus faecium,Ceftriaxone,Metro West Community Clinic,Metro North,2025-12,205,36,17.5,13.6,3.8,15.8,2.8,1.27,6,1556,-12.5,0
OBS-00017,Escherichia coli,Ceftriaxone,Eastside Medical Center,West District,2025-10,411,173,42.2,43.8,-1.6,42.3,3.9,-0.73,2,1029,2.2,0
OBS-00018,Acinetobacter baumannii,Ciprofloxacin,St. Jude General Hospital,West District,2025-11,171,81,47.3,43.0,4.3,44.3,2.8,1.56,3,900,22.3,1
OBS-00019,Pseudomonas aeruginosa,Ceftriaxone,Metro West Community Clinic,West District,2026-01,359,105,29.4,25.8,3.6,25.4,2.7,1.07,4,1690,-0.6,0
OBS-00020,Staphylococcus aureus,Ceftriaxone,North Suburbs Health Zone,Metro Central,2026-01,105,73,69.3,45.3,24.1,49.7,9.3,6.97,4,643,29.3,1
